model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
BERT;open;1NN;24;0.00030873726458783575;0.030873726458783574;0.03
BERT;open;5NN;96;0.001234949058351343;0.1234949058351343;0.12
BERT;open;10NN;169;0.00217402490480601;0.217402490480601;0.22
BERT;source;1NN;139;0.0017881033240712155;0.17881033240712155;0.18
BERT;source;5NN;452;0.00581455181640424;0.581455181640424;0.58
BERT;source;10NN;671;0.00863177935576824;0.8631779355768241;0.86
BERT;title;1NN;11824;0.15210455902027376;15.210455902027375;15.21
BERT;title;5NN;13135;0.16896933209838427;16.896933209838426;16.9
BERT;title;10NN;13752;0.1769064526088299;17.690645260882988;17.69
LASER;open;1NN;20297;0.2611016774724709;26.110167747247093;26.11
LASER;open;5NN;25457;0.3274801893588556;32.74801893588556;32.75
LASER;open;10NN;27522;0.35404445816610064;35.404445816610064;35.4
LASER;source;1NN;7048;0.09066584336729443;9.066584336729443;9.07
LASER;source;5NN;9271;0.11926263249974271;11.926263249974271;11.93
LASER;source;10NN;10181;0.13096892044869815;13.096892044869815;13.1
LASER;title;1NN;33539;0.4314474632088093;43.14474632088093;43.14
LASER;title;5NN;38235;0.4918570546464958;49.18570546464958;49.19
LASER;title;10NN;39508;0.5082329937223423;50.82329937223423;50.82
XLM-RoBERTa;open;1NN;24;0.00030873726458783575;0.030873726458783574;0.03
XLM-RoBERTa;open;5NN;123;0.0015822784810126582;0.15822784810126583;0.16
XLM-RoBERTa;open;10NN;219;0.0028172275393640012;0.2817227539364001;0.28
XLM-RoBERTa;source;1NN;1051;0.013520119378408973;1.3520119378408972;1.35
XLM-RoBERTa;source;5NN;2405;0.030938046722239373;3.0938046722239374;3.09
XLM-RoBERTa;source;10NN;3282;0.04221982093238654;4.221982093238654;4.22
XLM-RoBERTa;title;1NN;10964;0.1410414737058763;14.104147370587631;14.1
XLM-RoBERTa;title;5NN;12273;0.1578805186786045;15.78805186786045;15.79
XLM-RoBERTa;title;10NN;12841;0.16518730060718329;16.51873006071833;16.52
